studentID,bookTitle,date
520djh528,Kiss the Bride,07/11/2020 15:48:37
799apx390,cinderela,07/11/2020 16:18:38
339xml738,Deception,07/11/2020 16:19:21
520djh528,test,22/11/2022 10:31:47
799apx390,test2,22/11/2022 10:41:36
085lnl812,teste,22/11/2022 14:04:04
520djh528,Rafaello,23/11/2022 15:45:18
876bjm646,cinderella,24/11/2022 14:45:08
955run777,Cinderella,25/11/2022 22:11:15
876bjm646,test,26/11/2022 13:29:55
g,f,26/11/2022 13:33:01
876bjm646,test,26/11/2022 13:36:27
876bjm646,test,26/11/2022 13:37:13
065kzb455,Afternoon delight,26/11/2022 16:33:43
065kzb455,Home Alone 3,26/11/2022 16:39:29
